#	DMR_Hosts.txt
#
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#	Origional idea from Adrian Craig (M0GLJ)
#
#	Updated 08-Feb-2023
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. NO SPACES!!
#
#	Downloaded from http://www.pistar.uk/downloads/DMR_Hosts.txt
#
######################################################################################################
#
#				DMRGateway / Internal Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
DMRGateway			0000	127.0.0.1				none		62031
DMR2YSF				0000	127.0.0.2				none		62033
DMR2NXDN			0000	127.0.0.3				none		62035
######################################################################################################
#
#				XLX Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
######################################################################################################
#
#				BrandMeister Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
BM_5021_Malaysia		5021	5021.master.brandmeister.network	passw0rd	62031
BM_5051_Australia		5051	5051.master.brandmeister.network	passw0rd	62031
######################################################################################################

######################################################################################################
#
#				HBLink/FreeDMR Indonesia ID Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
HB_ID_K2PI_NUSANTARA		0000	103.163.139.80				passw0rd	62030
HB_ID_K2PI_INDONESIA		0000	156.67.217.55				passw0rd	62031
HB_ID_K2PI_DMRID		0000	156.67.217.55				passw0rd	62030
HB_ID_K2PI_RIAU1		0000	156.67.217.55				passw0rd	62035
HB_ID_K2PI_RIAU2		0000	156.67.217.55				passw0rd	62036
HB_ID_K2PI_INTERNATIONAL	0000	156.67.217.55				passw0rd	62037
HB_ID_K2PI_PELALAWAN		0000	156.67.217.55				passw0rd	62038
HB_ID_K2PI_EXPERIMENT		0000	156.67.217.55				passw0rd	62040
HB_ID_KRAP_DMR_EXP		0000	103.174.114.231				passw0rd	62030
######################################################################################################

